Project,Client,Title,Duration
Exercice,TD Tran,Jogging,06:22:21
Exercice,TD Tran,Walk,03:14:38
Exercice,TD Tran,Workout,00:43:28
Idle,TD Tran,Break,00:10:46
Idle,TD Tran,Mail,00:17:15
Idle,TD Tran,,02:20:35
Learning,TD Tran,Flow,00:08:06
Learning,TD Tran,Yoga mats,00:16:06
Learning,TD Tran,,10:20:15
Personal,TD Tran,Costco,01:57:50
Personal,TD Tran,Food,07:52:17
Personal,TD Tran,Julie,02:52:00
Personal,TD Tran,Shopping,01:02:57
Productive Time,TD Tran,Call,03:34:31
Productive Time,TD Tran,Research project,12:58:40
Productive Time,TD Tran,Set up toggl,00:31:16
Productive Time,TD Tran,Write about alternatives,19:10:53
Productive Time,TD Tran,,05:02:16
Sleep,TD Tran,Nap,00:31:20
Sleep,TD Tran,,49:00:45
Unproductive Time,TD Tran,Browsing,05:35:27
Unproductive Time,TD Tran,Gaming,04:36:49
Unproductive Time,TD Tran,Youtube,00:31:00
Unproductive Time,TD Tran,,17:11:18
