Project,Client,Title,Duration
Exercice,TD Tran,Walk,03:03:14
Exercice,TD Tran,Workout & Bike,07:46:56
Idle,TD Tran,Break,01:50:04
Idle,TD Tran,,01:17:12
Learning,TD Tran,Coding,11:11:17
Learning,TD Tran,,23:25:08
Personal,TD Tran,Food,11:20:38
Personal,TD Tran,Groceries,01:25:13
Personal,TD Tran,,00:55:19
Productive Time,TD Tran,,01:16:10
Sleep,TD Tran,,49:52:29
Unproductive Time,TD Tran,,25:15:41
